2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
3.507860000000000156e+01,3.507860000000000156e+01,3.437039999999999651e+01,3.437039999999999651e+01,3.485260000000000247e+01,3.434239999999999782e+01
3.479529999999999745e+01,3.426160000000000139e+01,3.414509999999999934e+01,3.452620000000000289e+01,3.449280000000000257e+01,3.412149999999999750e+01
3.428889999999999816e+01,3.443760000000000332e+01,3.424969999999999715e+01,3.438329999999999842e+01,3.459199999999999875e+01,3.415820000000000078e+01
3.414779999999999660e+01,3.474739999999999895e+01,3.396529999999999916e+01,3.470830000000000126e+01,3.416709999999999781e+01,3.394440000000000168e+01
3.422999999999999687e+01,3.391790000000000305e+01,3.424510000000000076e+01,3.406689999999999685e+01,3.432789999999999964e+01,3.433890000000000242e+01
3.415639999999999787e+01,3.419219999999999970e+01,3.395060000000000144e+01,3.448029999999999973e+01,3.411200000000000188e+01,3.417990000000000350e+01
3.418390000000000128e+01,3.413009999999999877e+01,3.405989999999999895e+01,3.428640000000000043e+01,3.426930000000000121e+01,3.426209999999999667e+01
3.379639999999999844e+01,3.417179999999999751e+01,3.396869999999999834e+01,3.372860000000000014e+01,3.393090000000000117e+01,3.425480000000000302e+01
3.406219999999999715e+01,3.431470000000000198e+01,3.371979999999999933e+01,3.403390000000000271e+01,3.407419999999999760e+01,3.410220000000000340e+01
3.406759999999999877e+01,3.393520000000000181e+01,3.364189999999999969e+01,3.390859999999999985e+01,3.403560000000000230e+01,3.410029999999999717e+01
3.393719999999999715e+01,3.412969999999999970e+01,3.384620000000000317e+01,3.384320000000000306e+01,3.416340000000000288e+01,3.434159999999999968e+01
3.340429999999999922e+01,3.393110000000000070e+01,3.386449999999999960e+01,3.457469999999999999e+01,3.418419999999999703e+01,3.384839999999999804e+01
3.391859999999999786e+01,3.386690000000000111e+01,3.394639999999999702e+01,3.403479999999999706e+01,3.410779999999999745e+01,3.421289999999999765e+01
3.382169999999999987e+01,3.368739999999999668e+01,3.442869999999999919e+01,3.395300000000000296e+01,3.384150000000000347e+01,3.396659999999999968e+01
3.369180000000000064e+01,3.342589999999999861e+01,3.369579999999999842e+01,3.385560000000000258e+01,3.396300000000000097e+01,3.410770000000000124e+01
3.356009999999999849e+01,3.387989999999999924e+01,3.370900000000000318e+01,3.368919999999999959e+01,3.404279999999999973e+01,3.415890000000000271e+01
3.349190000000000111e+01,3.391279999999999717e+01,3.394339999999999691e+01,3.419800000000000040e+01,3.392730000000000246e+01,3.384190000000000254e+01
3.334550000000000125e+01,3.352499999999999858e+01,3.375169999999999959e+01,3.348120000000000118e+01,3.392159999999999798e+01,3.400820000000000221e+01
3.344089999999999918e+01,3.364580000000000126e+01,3.350690000000000168e+01,3.384080000000000155e+01,3.391610000000000014e+01,3.374190000000000111e+01
3.341389999999999816e+01,3.346500000000000341e+01,3.386249999999999716e+01,3.364809999999999945e+01,3.343390000000000128e+01,3.364260000000000161e+01
3.336840000000000117e+01,3.352120000000000033e+01,3.362780000000000058e+01,3.375560000000000116e+01,3.349049999999999727e+01,3.364119999999999777e+01
3.292699999999999960e+01,3.379160000000000252e+01,3.378509999999999991e+01,3.357979999999999876e+01,3.345850000000000080e+01,3.373940000000000339e+01
3.310690000000000310e+01,3.360130000000000194e+01,3.352949999999999875e+01,3.359100000000000108e+01,3.365740000000000265e+01,3.366870000000000118e+01
3.323930000000000007e+01,3.349810000000000088e+01,3.342280000000000229e+01,3.353040000000000020e+01,3.346880000000000166e+01,3.384609999999999985e+01
3.304959999999999809e+01,3.348199999999999932e+01,3.362919999999999732e+01,3.366129999999999711e+01,3.352380000000000138e+01,3.368829999999999814e+01
3.283970000000000056e+01,3.331300000000000239e+01,3.343869999999999720e+01,3.363349999999999795e+01,3.368509999999999849e+01,3.356989999999999696e+01
3.305689999999999884e+01,3.338839999999999719e+01,3.345300000000000296e+01,3.341810000000000258e+01,3.347220000000000084e+01,3.363470000000000226e+01
3.283169999999999789e+01,3.327490000000000236e+01,3.326180000000000092e+01,3.405949999999999989e+01,3.336379999999999768e+01,3.366460000000000008e+01
3.270819999999999794e+01,3.295790000000000219e+01,3.344259999999999877e+01,3.378869999999999862e+01,3.354339999999999833e+01,3.360979999999999990e+01
3.269809999999999661e+01,3.297399999999999665e+01,3.335679999999999978e+01,3.324689999999999657e+01,3.329050000000000153e+01,3.343760000000000332e+01
3.279489999999999839e+01,3.309590000000000032e+01,3.329279999999999973e+01,3.359250000000000114e+01,3.335210000000000008e+01,3.361339999999999861e+01
3.258559999999999945e+01,3.301720000000000255e+01,3.329209999999999781e+01,3.353150000000000119e+01,3.358129999999999882e+01,3.319429999999999836e+01
