2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
1.906409999999999938e+00,1.906409999999999938e+00,2.017290000000000028e+00,2.017290000000000028e+00,1.959529999999999994e+00,1.971549999999999914e+00
2.025570000000000093e+00,1.693710000000000049e+00,1.913089999999999957e+00,1.922400000000000109e+00,1.740229999999999944e+00,1.964769999999999905e+00
1.692290000000000072e+00,1.872880000000000100e+00,1.885089999999999932e+00,1.869310000000000027e+00,1.785490000000000022e+00,2.084439999999999849e+00
1.864249999999999963e+00,1.899520000000000097e+00,1.706590000000000051e+00,2.024709999999999788e+00,1.862139999999999906e+00,1.710639999999999938e+00
1.779919999999999947e+00,1.745640000000000081e+00,1.533989999999999965e+00,2.099229999999999929e+00,1.814270000000000049e+00,1.903159999999999963e+00
1.856549999999999923e+00,1.850570000000000048e+00,1.875029999999999974e+00,1.783260000000000067e+00,1.715009999999999923e+00,1.938409999999999966e+00
1.724620000000000042e+00,1.880479999999999929e+00,1.798200000000000021e+00,1.701810000000000045e+00,2.003130000000000077e+00,1.803600000000000092e+00
1.780769999999999964e+00,1.720550000000000024e+00,1.831760000000000055e+00,2.029700000000000060e+00,1.651729999999999920e+00,1.903620000000000090e+00
1.707829999999999959e+00,1.762610000000000010e+00,1.780769999999999964e+00,1.997640000000000082e+00,1.783470000000000111e+00,1.822710000000000052e+00
1.906930000000000014e+00,1.748809999999999976e+00,1.914549999999999974e+00,2.008690000000000087e+00,1.833599999999999897e+00,1.769959999999999978e+00
1.860270000000000090e+00,1.661899999999999933e+00,1.966339999999999977e+00,2.111320000000000086e+00,1.899620000000000086e+00,1.961470000000000047e+00
1.721389999999999976e+00,1.617280000000000051e+00,1.792710000000000026e+00,1.644409999999999927e+00,1.953529999999999989e+00,1.670900000000000052e+00
1.640419999999999989e+00,1.793129999999999891e+00,1.907520000000000104e+00,2.008189999999999920e+00,1.684709999999999930e+00,1.840340000000000087e+00
1.654870000000000063e+00,1.459659999999999958e+00,1.616530000000000022e+00,1.734199999999999964e+00,1.846950000000000092e+00,1.803909999999999902e+00
1.640900000000000025e+00,1.706050000000000066e+00,1.630589999999999984e+00,1.760170000000000012e+00,1.814189999999999969e+00,1.846970000000000001e+00
1.720120000000000093e+00,1.732029999999999959e+00,1.929640000000000022e+00,1.810610000000000053e+00,1.782299999999999995e+00,2.047919999999999963e+00
1.853120000000000100e+00,1.994480000000000031e+00,1.631979999999999986e+00,1.887709999999999999e+00,1.709810000000000052e+00,1.776829999999999909e+00
1.735370000000000079e+00,1.717170000000000085e+00,1.795789999999999997e+00,1.689650000000000096e+00,1.807129999999999903e+00,1.896099999999999897e+00
1.466139999999999999e+00,1.845590000000000064e+00,1.728150000000000075e+00,1.672520000000000007e+00,1.932679999999999954e+00,1.675750000000000073e+00
1.660130000000000106e+00,1.702380000000000004e+00,1.967910000000000048e+00,1.821839999999999904e+00,1.489060000000000050e+00,1.719950000000000090e+00
1.562850000000000072e+00,1.501840000000000064e+00,1.655350000000000099e+00,1.808910000000000018e+00,1.630530000000000035e+00,1.654859999999999998e+00
1.565639999999999921e+00,1.625499999999999945e+00,1.495789999999999953e+00,1.748550000000000049e+00,1.828619999999999912e+00,1.709270000000000067e+00
1.410760000000000014e+00,1.644619999999999971e+00,1.517600000000000060e+00,1.755600000000000049e+00,1.722820000000000018e+00,1.668350000000000000e+00
1.542880000000000029e+00,1.723219999999999974e+00,1.672609999999999930e+00,1.543420000000000014e+00,1.653469999999999995e+00,1.542750000000000066e+00
1.507519999999999971e+00,1.514620000000000077e+00,1.635979999999999990e+00,1.685480000000000089e+00,1.702739999999999920e+00,1.719680000000000097e+00
1.476960000000000051e+00,1.661450000000000093e+00,1.533009999999999984e+00,1.503309999999999924e+00,1.610849999999999893e+00,1.758769999999999945e+00
1.496240000000000014e+00,1.670279999999999987e+00,1.693089999999999984e+00,1.649699999999999944e+00,1.637999999999999901e+00,1.805279999999999996e+00
1.490229999999999944e+00,1.485030000000000072e+00,1.633350000000000080e+00,1.621510000000000007e+00,1.661359999999999948e+00,1.566440000000000055e+00
1.451189999999999980e+00,1.464949999999999974e+00,1.415880000000000027e+00,1.635559999999999903e+00,1.679230000000000000e+00,1.675419999999999909e+00
1.390260000000000051e+00,1.475190000000000001e+00,1.680700000000000083e+00,1.733170000000000099e+00,1.700190000000000090e+00,1.564170000000000060e+00
1.476420000000000066e+00,1.522799999999999931e+00,1.632789999999999964e+00,1.653929999999999900e+00,1.643380000000000063e+00,1.826920000000000099e+00
1.481980000000000075e+00,1.592319999999999958e+00,1.703759999999999941e+00,1.608319999999999972e+00,1.647310000000000052e+00,1.586479999999999890e+00
1.334480000000000111e+00,1.441550000000000109e+00,1.511549999999999949e+00,1.379869999999999930e+00,1.610919999999999908e+00,1.647569999999999979e+00
1.322330000000000005e+00,1.400670000000000082e+00,1.620449999999999946e+00,1.794079999999999897e+00,1.642930000000000001e+00,1.633699999999999930e+00
1.407159999999999966e+00,1.464930000000000065e+00,1.688469999999999915e+00,1.673969999999999958e+00,1.685259999999999980e+00,1.659459999999999935e+00
1.424390000000000045e+00,1.426509999999999945e+00,1.564820000000000100e+00,1.632069999999999910e+00,1.444730000000000070e+00,1.583970000000000100e+00
1.323169999999999957e+00,1.380079999999999973e+00,1.400460000000000038e+00,1.605150000000000077e+00,1.680719999999999992e+00,1.578400000000000025e+00
1.306589999999999918e+00,1.434220000000000050e+00,1.518729999999999913e+00,1.512119999999999909e+00,1.559399999999999897e+00,1.635310000000000041e+00
1.302349999999999897e+00,1.464339999999999975e+00,1.490080000000000071e+00,1.577530000000000099e+00,1.604190000000000005e+00,1.561549999999999994e+00
1.302999999999999936e+00,1.455850000000000088e+00,1.504599999999999937e+00,1.420020000000000060e+00,1.531479999999999952e+00,1.509220000000000006e+00
1.248459999999999903e+00,1.469969999999999999e+00,1.499770000000000048e+00,1.660700000000000065e+00,1.507649999999999935e+00,1.511030000000000095e+00
