2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
1.282270000000000021e+00,1.282270000000000021e+00,1.402959999999999985e+00,1.402959999999999985e+00,1.317639999999999922e+00,1.352240000000000109e+00
1.360389999999999988e+00,1.148900000000000032e+00,1.349890000000000034e+00,1.348989999999999911e+00,1.218860000000000054e+00,1.355839999999999934e+00
1.159650000000000070e+00,1.291360000000000063e+00,1.289400000000000102e+00,1.290240000000000054e+00,1.273879999999999901e+00,1.400150000000000006e+00
1.277150000000000007e+00,1.311260000000000092e+00,1.140339999999999909e+00,1.418220000000000036e+00,1.281679999999999930e+00,1.177720000000000100e+00
1.205140000000000100e+00,1.172949999999999937e+00,1.052489999999999926e+00,1.414740000000000109e+00,1.230350000000000055e+00,1.321369999999999933e+00
1.210639999999999938e+00,1.235700000000000021e+00,1.273190000000000044e+00,1.235589999999999966e+00,1.146770000000000067e+00,1.321379999999999999e+00
1.206439999999999957e+00,1.258150000000000102e+00,1.235389999999999988e+00,1.143610000000000015e+00,1.363029999999999964e+00,1.221179999999999932e+00
1.220320000000000071e+00,1.178460000000000063e+00,1.235239999999999894e+00,1.339310000000000000e+00,1.127739999999999965e+00,1.271740000000000093e+00
1.176460000000000061e+00,1.181049999999999933e+00,1.195650000000000102e+00,1.367010000000000058e+00,1.206290000000000084e+00,1.269509999999999916e+00
1.313339999999999952e+00,1.190430000000000099e+00,1.279579999999999940e+00,1.370160000000000045e+00,1.252459999999999907e+00,1.236199999999999966e+00
1.279269999999999907e+00,1.143459999999999921e+00,1.341779999999999973e+00,1.430630000000000068e+00,1.303639999999999910e+00,1.319490000000000052e+00
1.179699999999999971e+00,1.106659999999999977e+00,1.218020000000000103e+00,1.145629999999999926e+00,1.366840000000000055e+00,1.123229999999999951e+00
1.103809999999999958e+00,1.219940000000000024e+00,1.295570000000000110e+00,1.380190000000000028e+00,1.173599999999999977e+00,1.282489999999999908e+00
1.144169999999999909e+00,9.899240000000000261e-01,1.125599999999999934e+00,1.192490000000000050e+00,1.272480000000000055e+00,1.236199999999999966e+00
1.146679999999999922e+00,1.141399999999999970e+00,1.086950000000000083e+00,1.157310000000000061e+00,1.201440000000000063e+00,1.263819999999999943e+00
1.160700000000000065e+00,1.164949999999999930e+00,1.330699999999999994e+00,1.236210000000000031e+00,1.224359999999999893e+00,1.423839999999999995e+00
1.267819999999999947e+00,1.382609999999999895e+00,1.115089999999999915e+00,1.325099999999999945e+00,1.162050000000000027e+00,1.182439999999999936e+00
1.187230000000000008e+00,1.167030000000000012e+00,1.237659999999999982e+00,1.147960000000000091e+00,1.218099999999999961e+00,1.316840000000000011e+00
1.014299999999999979e+00,1.271039999999999948e+00,1.168860000000000010e+00,1.118770000000000042e+00,1.302170000000000050e+00,1.137939999999999952e+00
1.128589999999999982e+00,1.153520000000000101e+00,1.331469999999999931e+00,1.213189999999999991e+00,1.021490000000000009e+00,1.171399999999999997e+00
1.082570000000000032e+00,1.011679999999999913e+00,1.127459999999999907e+00,1.221160000000000023e+00,1.121879999999999988e+00,1.139990000000000059e+00
1.053970000000000073e+00,1.085930000000000062e+00,1.001370000000000093e+00,1.182160000000000100e+00,1.229470000000000063e+00,1.168579999999999952e+00
9.492979999999999752e-01,1.129280000000000062e+00,1.030829999999999913e+00,1.194989999999999997e+00,1.170009999999999994e+00,1.116049999999999986e+00
1.050240000000000062e+00,1.167610000000000037e+00,1.114649999999999919e+00,1.096119999999999983e+00,1.149159999999999959e+00,1.071860000000000035e+00
1.028149999999999897e+00,1.049569999999999892e+00,1.100559999999999983e+00,1.155599999999999961e+00,1.148970000000000047e+00,1.156870000000000065e+00
9.875869999999999926e-01,1.134819999999999940e+00,1.050599999999999978e+00,1.005419999999999980e+00,1.102510000000000101e+00,1.220930000000000071e+00
1.001100000000000101e+00,1.122659999999999991e+00,1.139129999999999976e+00,1.101550000000000029e+00,1.112149999999999972e+00,1.186600000000000099e+00
9.904720000000000191e-01,1.026370000000000005e+00,1.109620000000000051e+00,1.135610000000000008e+00,1.116349999999999953e+00,1.076200000000000045e+00
9.758930000000000105e-01,9.965829999999999966e-01,9.937780000000000502e-01,1.109690000000000065e+00,1.130339999999999900e+00,1.130349999999999966e+00
9.504179999999999851e-01,9.861079999999999846e-01,1.148959999999999981e+00,1.192870000000000097e+00,1.151000000000000023e+00,1.058060000000000000e+00
9.960520000000000485e-01,1.038780000000000037e+00,1.111680000000000001e+00,1.094670000000000032e+00,1.121520000000000072e+00,1.248799999999999910e+00
9.992790000000000283e-01,1.085530000000000106e+00,1.134660000000000002e+00,1.112239999999999895e+00,1.114509999999999890e+00,1.062119999999999953e+00
9.118020000000000014e-01,9.823899999999999855e-01,1.027439999999999909e+00,9.593639999999999946e-01,1.110279999999999934e+00,1.130970000000000031e+00
9.041080000000000227e-01,9.472369999999999957e-01,1.115799999999999903e+00,1.215400000000000036e+00,1.106440000000000090e+00,1.105199999999999960e+00
9.674719999999999986e-01,9.879000000000000004e-01,1.152090000000000058e+00,1.137620000000000076e+00,1.154109999999999969e+00,1.128209999999999935e+00
9.718259999999999676e-01,9.644099999999999895e-01,1.069110000000000005e+00,1.119080000000000075e+00,9.912279999999999980e-01,1.067120000000000068e+00
8.944429999999999881e-01,9.446139999999999537e-01,9.429250000000000131e-01,1.091280000000000028e+00,1.155129999999999990e+00,1.078850000000000087e+00
8.797819999999999530e-01,9.809949999999999504e-01,1.026140000000000052e+00,1.013519999999999976e+00,1.053719999999999990e+00,1.107080000000000064e+00
8.603049999999999864e-01,1.005849999999999911e+00,9.921609999999999596e-01,1.063800000000000079e+00,1.083099999999999952e+00,1.049560000000000048e+00
8.712229999999999697e-01,9.757869999999999600e-01,1.007500000000000062e+00,9.801769999999999650e-01,1.018510000000000026e+00,1.020850000000000035e+00
8.324829999999999730e-01,9.923899999999999944e-01,1.024140000000000050e+00,1.124640000000000084e+00,1.032810000000000006e+00,1.025819999999999954e+00
8.685009999999999675e-01,9.669769999999999754e-01,9.789529999999999621e-01,9.628069999999999684e-01,9.775329999999999853e-01,1.062519999999999909e+00
8.103970000000000340e-01,8.859719999999999818e-01,9.659090000000000176e-01,1.084039999999999893e+00,1.042540000000000022e+00,1.064109999999999889e+00
8.243380000000000152e-01,9.385700000000000154e-01,1.037509999999999932e+00,1.051220000000000043e+00,1.082640000000000047e+00,1.051919999999999966e+00
7.690320000000000489e-01,8.721830000000000416e-01,9.123580000000000023e-01,9.804810000000000469e-01,1.048240000000000061e+00,9.945850000000000524e-01
8.058729999999999505e-01,9.360899999999999777e-01,9.646810000000000107e-01,1.083890000000000020e+00,1.055679999999999952e+00,9.931799999999999518e-01
7.663489999999999469e-01,8.738160000000000371e-01,1.004890000000000061e+00,1.020010000000000083e+00,9.809689999999999799e-01,1.022599999999999953e+00
7.865560000000000329e-01,8.821520000000000472e-01,9.663559999999999928e-01,9.351439999999999753e-01,1.036520000000000108e+00,1.026110000000000078e+00
7.278959999999999875e-01,8.557890000000000219e-01,9.628090000000000259e-01,9.693800000000000194e-01,9.980909999999999505e-01,9.867190000000000127e-01
7.556589999999999696e-01,8.950110000000000010e-01,9.709790000000000365e-01,9.095199999999999951e-01,9.803880000000000372e-01,9.259969999999999590e-01
7.487639999999999851e-01,8.169229999999999547e-01,9.423409999999999842e-01,1.058000000000000052e+00,9.772990000000000288e-01,9.634340000000000126e-01
7.541189999999999838e-01,8.828529999999999989e-01,9.995549999999999713e-01,9.362859999999999516e-01,9.521800000000000264e-01,9.349669999999999925e-01
7.675619999999999665e-01,9.416550000000000198e-01,9.271709999999999674e-01,9.713829999999999965e-01,9.523110000000000186e-01,9.121979999999999533e-01
7.786070000000000491e-01,8.978690000000000282e-01,8.921639999999999571e-01,9.203649999999999887e-01,9.703209999999999891e-01,9.711090000000000000e-01
7.855670000000000153e-01,8.998950000000000005e-01,8.858390000000000430e-01,9.443000000000000282e-01,8.912039999999999962e-01,9.194999999999999840e-01
7.563330000000000330e-01,8.766169999999999796e-01,8.750080000000000080e-01,9.044539999999999802e-01,9.543080000000000451e-01,9.356280000000000152e-01
7.550670000000000437e-01,8.236259999999999692e-01,8.916490000000000249e-01,9.394730000000000025e-01,9.665559999999999707e-01,9.084989999999999455e-01
7.428780000000000383e-01,8.711999999999999744e-01,8.827450000000000019e-01,9.719590000000000174e-01,9.189869999999999983e-01,8.827530000000000099e-01
7.863320000000000309e-01,8.844790000000000152e-01,8.719630000000000436e-01,8.966539999999999511e-01,9.287149999999999572e-01,9.110979999999999634e-01
7.586359999999999770e-01,8.422739999999999672e-01,8.976359999999999895e-01,8.218189999999999662e-01,8.788080000000000336e-01,8.986100000000000199e-01
7.795480000000000187e-01,8.479459999999999775e-01,8.934819999999999984e-01,8.944189999999999641e-01,9.475419999999999954e-01,9.306630000000000180e-01
7.338010000000000366e-01,8.323580000000000423e-01,8.294899999999999496e-01,9.044969999999999954e-01,8.932900000000000285e-01,9.019169999999999687e-01
7.822000000000000064e-01,8.432049999999999823e-01,9.192460000000000075e-01,8.662699999999999845e-01,8.807260000000000089e-01,8.650539999999999896e-01
7.471320000000000183e-01,8.059849999999999515e-01,8.533140000000000169e-01,9.040240000000000498e-01,9.003569999999999629e-01,8.378809999999999869e-01
7.576330000000000009e-01,8.449360000000000204e-01,8.672990000000000421e-01,8.898479999999999723e-01,9.460140000000000216e-01,9.511079999999999535e-01
7.450489999999999613e-01,8.177149999999999697e-01,8.326130000000000475e-01,8.352990000000000137e-01,8.887530000000000152e-01,8.880540000000000100e-01
7.388820000000000388e-01,7.986389999999999878e-01,8.022439999999999571e-01,7.791350000000000220e-01,8.623619999999999619e-01,8.870710000000000539e-01
7.414570000000000327e-01,8.237520000000000397e-01,8.083380000000000010e-01,8.414760000000000018e-01,8.563549999999999773e-01,8.527010000000000423e-01
7.404830000000000023e-01,8.057539999999999702e-01,8.583699999999999664e-01,9.073550000000000226e-01,8.952679999999999527e-01,8.709630000000000427e-01
7.343659999999999632e-01,8.132639999999999869e-01,8.254909999999999748e-01,9.221089999999999565e-01,8.239739999999999842e-01,8.504040000000000488e-01
7.336880000000000068e-01,8.017090000000000050e-01,8.371410000000000240e-01,8.898570000000000091e-01,8.595650000000000235e-01,8.579560000000000519e-01
7.547530000000000072e-01,8.087820000000000009e-01,8.038159999999999750e-01,8.857909999999999950e-01,8.447390000000000176e-01,8.454599999999999893e-01
7.494800000000000351e-01,7.941430000000000433e-01,8.007079999999999753e-01,8.583290000000000086e-01,8.699040000000000106e-01,8.583819999999999784e-01
7.586479999999999890e-01,8.207200000000000051e-01,8.073200000000000376e-01,7.793790000000000440e-01,8.282190000000000385e-01,8.503699999999999593e-01
7.431299999999999573e-01,8.210119999999999640e-01,8.086370000000000502e-01,8.905950000000000255e-01,8.557329999999999659e-01,8.013719999999999732e-01
7.520839999999999748e-01,8.261469999999999647e-01,7.792099999999999582e-01,8.467050000000000409e-01,7.799249999999999794e-01,7.927959999999999452e-01
7.410799999999999610e-01,7.920430000000000526e-01,8.474239999999999551e-01,8.164080000000000226e-01,8.860869999999999580e-01,8.287910000000000554e-01
7.591259999999999675e-01,8.246440000000000436e-01,7.777880000000000349e-01,9.074210000000000331e-01,8.191800000000000193e-01,7.901160000000000405e-01
7.579320000000000501e-01,8.115539999999999976e-01,8.324820000000000553e-01,8.672090000000000076e-01,7.955670000000000242e-01,8.214129999999999487e-01
7.567089999999999650e-01,8.211089999999999778e-01,8.224320000000000519e-01,8.371220000000000327e-01,8.154860000000000442e-01,8.211310000000000553e-01
7.425380000000000313e-01,8.107339999999999547e-01,8.047199999999999909e-01,8.569759999999999600e-01,8.191669999999999785e-01,8.067760000000000487e-01
7.437749999999999639e-01,8.140370000000000106e-01,8.049779999999999713e-01,8.268950000000000466e-01,8.083500000000000130e-01,8.191850000000000520e-01
7.456500000000000350e-01,8.182430000000000536e-01,7.888140000000000152e-01,8.084029999999999827e-01,7.712029999999999719e-01,7.876600000000000268e-01
7.597880000000000189e-01,8.165620000000000100e-01,7.723590000000000177e-01,8.544260000000000188e-01,7.597960000000000269e-01,8.128499999999999615e-01
7.555779999999999719e-01,8.154740000000000322e-01,7.916779999999999928e-01,8.394049999999999567e-01,7.901129999999999542e-01,7.950909999999999922e-01
7.468129999999999491e-01,8.118309999999999693e-01,8.022979999999999556e-01,8.107269999999999754e-01,7.705710000000000059e-01,7.902029999999999887e-01
7.491409999999999458e-01,8.117870000000000363e-01,7.702660000000000062e-01,7.897030000000000438e-01,7.721040000000000125e-01,7.659789999999999655e-01
7.474990000000000245e-01,8.165259999999999740e-01,7.829439999999999733e-01,8.205710000000000504e-01,7.744389999999999885e-01,7.849620000000000486e-01
7.505129999999999857e-01,8.208710000000000173e-01,7.818779999999999619e-01,7.845769999999999689e-01,7.725849999999999662e-01,7.634039999999999715e-01
7.545429999999999637e-01,8.223240000000000549e-01,7.744969999999999910e-01,7.798709999999999809e-01,7.775180000000000424e-01,7.394490000000000229e-01
7.547599999999999865e-01,8.160150000000000459e-01,7.531560000000000477e-01,8.084320000000000395e-01,7.708530000000000104e-01,7.503910000000000302e-01
