2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
1.606759999999999877e+01,1.606759999999999877e+01,1.561790000000000056e+01,1.561790000000000056e+01,1.594229999999999947e+01,1.559759999999999991e+01
1.590380000000000038e+01,1.548460000000000036e+01,1.550159999999999982e+01,1.576590000000000025e+01,1.572889999999999944e+01,1.548029999999999973e+01
1.560689999999999955e+01,1.567489999999999917e+01,1.549009999999999998e+01,1.564780000000000015e+01,1.578739999999999988e+01,1.551399999999999935e+01
1.551169999999999938e+01,1.594469999999999921e+01,1.535539999999999949e+01,1.588550000000000040e+01,1.549699999999999989e+01,1.528030000000000044e+01
1.557249999999999979e+01,1.532760000000000034e+01,1.554529999999999923e+01,1.542740000000000045e+01,1.561280000000000001e+01,1.563359999999999950e+01
1.552120000000000033e+01,1.556049999999999933e+01,1.539450000000000074e+01,1.569969999999999999e+01,1.545940000000000047e+01,1.551280000000000037e+01
1.557799999999999940e+01,1.548830000000000062e+01,1.549000000000000021e+01,1.559179999999999922e+01,1.557709999999999972e+01,1.556450000000000067e+01
1.528640000000000043e+01,1.554739999999999966e+01,1.538499999999999979e+01,1.522250000000000014e+01,1.535089999999999932e+01,1.552299999999999969e+01
1.546199999999999974e+01,1.562640000000000029e+01,1.518839999999999968e+01,1.546649999999999991e+01,1.544510000000000005e+01,1.546700000000000053e+01
1.546899999999999942e+01,1.538139999999999930e+01,1.518670000000000009e+01,1.534430000000000049e+01,1.545490000000000030e+01,1.546759999999999913e+01
1.541300000000000026e+01,1.549329999999999963e+01,1.534730000000000061e+01,1.534800000000000075e+01,1.550239999999999974e+01,1.562710000000000043e+01
1.504809999999999981e+01,1.540220000000000056e+01,1.529770000000000074e+01,1.585260000000000069e+01,1.557510000000000083e+01,1.531380000000000052e+01
1.537979999999999947e+01,1.533029999999999937e+01,1.535149999999999970e+01,1.546449999999999925e+01,1.546649999999999991e+01,1.557349999999999923e+01
1.534859999999999935e+01,1.521269999999999989e+01,1.572209999999999930e+01,1.543219999999999992e+01,1.531160000000000032e+01,1.540990000000000038e+01
1.526660000000000039e+01,1.505579999999999963e+01,1.523659999999999926e+01,1.531179999999999986e+01,1.534779999999999944e+01,1.550169999999999959e+01
