2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
1.641959999999999908e+01,1.641959999999999908e+01,1.607849999999999824e+01,1.607849999999999824e+01,1.615180000000000149e+01,1.617160000000000153e+01
1.615899999999999892e+01,1.614150000000000063e+01,1.588199999999999967e+01,1.617480000000000118e+01,1.612630000000000052e+01,1.602039999999999864e+01
1.629269999999999996e+01,1.611710000000000065e+01,1.604700000000000060e+01,1.619440000000000168e+01,1.616839999999999833e+01,1.596160000000000068e+01
1.598370000000000068e+01,1.606439999999999912e+01,1.628509999999999991e+01,1.633310000000000173e+01,1.602639999999999887e+01,1.607339999999999947e+01
1.641319999999999979e+01,1.607789999999999964e+01,1.612600000000000122e+01,1.614160000000000039e+01,1.607969999999999899e+01,1.613169999999999860e+01
1.593260000000000076e+01,1.601549999999999940e+01,1.636550000000000082e+01,1.622309999999999874e+01,1.593560000000000088e+01,1.600969999999999871e+01
1.593970000000000020e+01,1.593340000000000067e+01,1.595800000000000018e+01,1.603740000000000165e+01,1.589269999999999960e+01,1.620909999999999940e+01
1.607440000000000069e+01,1.585929999999999929e+01,1.607979999999999876e+01,1.583249999999999957e+01,1.591580000000000084e+01,1.602349999999999852e+01
1.599879999999999924e+01,1.596829999999999927e+01,1.601549999999999940e+01,1.606040000000000134e+01,1.598920000000000030e+01,1.605930000000000035e+01
1.594219999999999970e+01,1.595270000000000010e+01,1.622299999999999898e+01,1.602560000000000073e+01,1.591639999999999944e+01,1.601739999999999853e+01
1.586829999999999963e+01,1.589959999999999951e+01,1.605320000000000036e+01,1.589140000000000086e+01,1.606800000000000139e+01,1.601340000000000074e+01
1.571529999999999916e+01,1.597830000000000084e+01,1.584060000000000024e+01,1.586989999999999945e+01,1.614379999999999882e+01,1.583580000000000076e+01
1.579030000000000022e+01,1.597920000000000051e+01,1.587630000000000052e+01,1.605890000000000128e+01,1.593050000000000033e+01,1.595659999999999989e+01
1.582029999999999959e+01,1.584270000000000067e+01,1.586309999999999931e+01,1.584639999999999915e+01,1.596499999999999986e+01,1.592259999999999920e+01
1.566430000000000078e+01,1.568560000000000088e+01,1.585309999999999953e+01,1.586999999999999922e+01,1.601599999999999824e+01,1.582750000000000057e+01
1.572979999999999912e+01,1.578250000000000064e+01,1.582690000000000019e+01,1.580250000000000021e+01,1.597070000000000078e+01,1.593989999999999974e+01
1.558469999999999978e+01,1.585249999999999915e+01,1.578969999999999985e+01,1.580599999999999916e+01,1.591559999999999953e+01,1.574619999999999997e+01
1.548780000000000001e+01,1.589690000000000047e+01,1.581630000000000003e+01,1.591990000000000016e+01,1.590440000000000076e+01,1.577779999999999916e+01
1.555269999999999975e+01,1.568950000000000067e+01,1.573680000000000057e+01,1.597180000000000000e+01,1.578800000000000026e+01,1.590489999999999959e+01
1.555540000000000056e+01,1.559939999999999927e+01,1.586139999999999972e+01,1.592459999999999987e+01,1.600410000000000110e+01,1.586589999999999989e+01
1.542910000000000004e+01,1.548399999999999999e+01,1.554279999999999973e+01,1.577769999999999939e+01,1.587669999999999959e+01,1.571189999999999998e+01
1.544110000000000049e+01,1.554819999999999958e+01,1.591269999999999918e+01,1.585529999999999973e+01,1.575929999999999964e+01,1.573230000000000040e+01
1.550580000000000069e+01,1.556850000000000023e+01,1.573610000000000042e+01,1.553829999999999956e+01,1.557060000000000066e+01,1.591230000000000011e+01
1.543640000000000079e+01,1.553730000000000011e+01,1.581109999999999971e+01,1.583350000000000080e+01,1.569110000000000049e+01,1.570539999999999914e+01
1.538100000000000023e+01,1.558409999999999940e+01,1.575520000000000032e+01,1.570059999999999967e+01,1.579470000000000063e+01,1.573920000000000030e+01
1.546230000000000082e+01,1.566189999999999927e+01,1.571400000000000041e+01,1.561529999999999951e+01,1.565039999999999942e+01,1.577360000000000007e+01
1.524109999999999943e+01,1.553309999999999924e+01,1.558300000000000018e+01,1.565460000000000029e+01,1.561880000000000024e+01,1.571279999999999966e+01
1.515090000000000003e+01,1.550309999999999988e+01,1.547669999999999924e+01,1.568720000000000070e+01,1.573170000000000002e+01,1.574670000000000059e+01
1.532310000000000016e+01,1.541960000000000086e+01,1.573140000000000072e+01,1.570550000000000068e+01,1.565659999999999918e+01,1.580710000000000015e+01
1.536979999999999968e+01,1.543699999999999939e+01,1.564980000000000082e+01,1.555899999999999928e+01,1.559440000000000026e+01,1.555219999999999914e+01
1.523419999999999952e+01,1.541569999999999929e+01,1.538129999999999953e+01,1.561020000000000074e+01,1.564329999999999998e+01,1.573080000000000034e+01
1.524520000000000053e+01,1.523610000000000042e+01,1.538049999999999962e+01,1.576399999999999935e+01,1.564129999999999932e+01,1.556310000000000038e+01
1.512679999999999936e+01,1.536059999999999981e+01,1.559740000000000038e+01,1.562480000000000047e+01,1.553040000000000020e+01,1.556530000000000058e+01
1.513049999999999962e+01,1.537940000000000040e+01,1.548869999999999969e+01,1.552849999999999930e+01,1.549670000000000059e+01,1.565230000000000032e+01
1.520930000000000071e+01,1.540339999999999954e+01,1.554959999999999987e+01,1.532620000000000005e+01,1.556489999999999974e+01,1.556010000000000026e+01
1.512030000000000030e+01,1.530889999999999951e+01,1.544110000000000049e+01,1.558300000000000018e+01,1.557939999999999969e+01,1.564189999999999969e+01
1.506049999999999933e+01,1.521940000000000026e+01,1.547240000000000038e+01,1.539329999999999998e+01,1.549329999999999963e+01,1.561619999999999919e+01
1.501839999999999975e+01,1.544020000000000081e+01,1.531170000000000009e+01,1.550140000000000029e+01,1.553839999999999932e+01,1.549360000000000070e+01
