2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
3.550010000000000332e+01,3.550010000000000332e+01,3.503229999999999933e+01,3.503229999999999933e+01,3.503329999999999700e+01,3.510640000000000072e+01
3.508220000000000027e+01,3.503900000000000148e+01,3.464300000000000068e+01,3.506199999999999761e+01,3.498539999999999850e+01,3.485199999999999676e+01
3.522789999999999822e+01,3.498210000000000264e+01,3.486319999999999908e+01,3.507240000000000180e+01,3.509219999999999828e+01,3.475849999999999795e+01
3.479110000000000014e+01,3.489719999999999800e+01,3.525269999999999726e+01,3.534499999999999886e+01,3.484599999999999653e+01,3.493469999999999942e+01
3.542680000000000007e+01,3.491369999999999862e+01,3.498899999999999721e+01,3.501820000000000022e+01,3.496860000000000213e+01,3.501989999999999981e+01
3.467640000000000100e+01,3.486280000000000001e+01,3.537389999999999901e+01,3.514739999999999753e+01,3.475269999999999726e+01,3.483689999999999998e+01
3.469740000000000180e+01,3.470389999999999731e+01,3.472480000000000189e+01,3.483679999999999666e+01,3.466949999999999932e+01,3.513250000000000028e+01
3.492379999999999995e+01,3.459409999999999741e+01,3.492949999999999733e+01,3.459620000000000317e+01,3.467790000000000106e+01,3.486610000000000298e+01
3.477839999999999776e+01,3.475249999999999773e+01,3.488940000000000197e+01,3.491879999999999740e+01,3.481900000000000261e+01,3.493880000000000052e+01
3.467660000000000053e+01,3.471650000000000347e+01,3.511090000000000089e+01,3.492240000000000322e+01,3.467920000000000158e+01,3.480429999999999779e+01
3.455630000000000024e+01,3.458310000000000173e+01,3.486540000000000106e+01,3.458460000000000178e+01,3.488239999999999696e+01,3.483630000000000138e+01
3.431300000000000239e+01,3.476149999999999807e+01,3.455469999999999686e+01,3.458460000000000178e+01,3.499849999999999994e+01,3.459770000000000323e+01
3.444050000000000011e+01,3.473349999999999937e+01,3.462550000000000239e+01,3.490670000000000073e+01,3.466140000000000043e+01,3.471280000000000143e+01
3.446909999999999741e+01,3.453079999999999927e+01,3.454789999999999850e+01,3.452539999999999765e+01,3.475759999999999650e+01,3.465039999999999765e+01
3.422249999999999659e+01,3.432150000000000034e+01,3.455709999999999837e+01,3.464820000000000277e+01,3.484150000000000347e+01,3.455700000000000216e+01
3.426290000000000191e+01,3.442150000000000176e+01,3.449110000000000298e+01,3.451670000000000016e+01,3.470720000000000027e+01,3.466550000000000153e+01
3.411740000000000350e+01,3.451259999999999906e+01,3.444039999999999679e+01,3.450390000000000157e+01,3.462570000000000192e+01,3.439880000000000138e+01
3.392060000000000031e+01,3.455910000000000082e+01,3.449029999999999774e+01,3.462369999999999948e+01,3.465359999999999729e+01,3.443750000000000000e+01
3.402040000000000219e+01,3.422899999999999920e+01,3.438380000000000081e+01,3.469650000000000034e+01,3.442459999999999809e+01,3.460960000000000036e+01
3.402839999999999776e+01,3.413530000000000086e+01,3.450699999999999790e+01,3.462129999999999797e+01,3.472899999999999920e+01,3.455210000000000292e+01
3.378889999999999816e+01,3.397220000000000084e+01,3.407889999999999731e+01,3.440400000000000347e+01,3.454860000000000042e+01,3.430769999999999698e+01
3.381419999999999959e+01,3.404930000000000234e+01,3.456539999999999679e+01,3.452920000000000300e+01,3.434720000000000084e+01,3.433890000000000242e+01
3.387389999999999901e+01,3.404290000000000305e+01,3.434320000000000306e+01,3.407099999999999795e+01,3.413020000000000209e+01,3.461769999999999925e+01
3.377040000000000219e+01,3.401080000000000325e+01,3.446909999999999741e+01,3.445089999999999719e+01,3.430510000000000304e+01,3.431179999999999808e+01
3.369060000000000343e+01,3.405310000000000059e+01,3.435490000000000066e+01,3.429399999999999693e+01,3.442739999999999867e+01,3.431719999999999970e+01
3.379480000000000217e+01,3.417419999999999902e+01,3.430040000000000333e+01,3.415400000000000347e+01,3.419559999999999889e+01,3.438029999999999831e+01
3.347339999999999804e+01,3.392900000000000205e+01,3.407659999999999911e+01,3.416819999999999879e+01,3.416490000000000293e+01,3.427089999999999748e+01
3.331269999999999953e+01,3.391559999999999775e+01,3.392830000000000013e+01,3.423020000000000351e+01,3.426639999999999731e+01,3.432710000000000150e+01
3.356239999999999668e+01,3.378390000000000271e+01,3.425939999999999941e+01,3.427230000000000132e+01,3.424090000000000344e+01,3.441290000000000049e+01
3.357939999999999969e+01,3.379919999999999902e+01,3.414889999999999759e+01,3.402170000000000272e+01,3.410190000000000055e+01,3.403450000000000131e+01
3.341660000000000252e+01,3.376939999999999742e+01,3.375289999999999679e+01,3.412939999999999685e+01,3.415509999999999735e+01,3.430400000000000205e+01
3.340789999999999793e+01,3.349510000000000076e+01,3.373460000000000036e+01,3.432860000000000156e+01,3.414099999999999824e+01,3.404630000000000223e+01
3.325010000000000332e+01,3.366770000000000351e+01,3.406620000000000203e+01,3.411560000000000059e+01,3.397409999999999997e+01,3.402740000000000009e+01
3.323859999999999815e+01,3.371459999999999724e+01,3.387449999999999761e+01,3.397310000000000230e+01,3.392090000000000316e+01,3.417040000000000077e+01
3.332159999999999656e+01,3.369500000000000028e+01,3.392490000000000094e+01,3.365930000000000177e+01,3.402969999999999828e+01,3.403260000000000218e+01
3.322939999999999827e+01,3.357260000000000133e+01,3.381349999999999767e+01,3.404760000000000275e+01,3.406790000000000163e+01,3.414639999999999986e+01
3.313580000000000325e+01,3.339479999999999649e+01,3.384660000000000224e+01,3.374179999999999779e+01,3.389789999999999992e+01,3.408820000000000050e+01
3.302089999999999748e+01,3.373709999999999809e+01,3.361959999999999837e+01,3.391689999999999827e+01,3.395660000000000167e+01,3.392549999999999955e+01
3.290350000000000108e+01,3.333679999999999666e+01,3.378900000000000148e+01,3.387839999999999918e+01,3.396629999999999683e+01,3.385669999999999646e+01
3.300750000000000028e+01,3.331400000000000006e+01,3.363980000000000103e+01,3.403439999999999799e+01,3.387400000000000233e+01,3.395989999999999753e+01
3.288190000000000168e+01,3.341660000000000252e+01,3.341590000000000060e+01,3.387210000000000321e+01,3.380839999999999890e+01,3.393339999999999890e+01
3.289779999999999660e+01,3.329579999999999984e+01,3.373429999999999751e+01,3.372229999999999706e+01,3.378139999999999787e+01,3.378620000000000090e+01
