2E12Cooling,1E12Cooling,5E11Cooling,2E11Cooling,2E11Cooling_1000,2E11Cooling_HQ
1.722220000000000084e+00,1.722220000000000084e+00,1.698010000000000019e+00,1.698010000000000019e+00,1.965759999999999952e+00,1.906849999999999934e+00
2.141900000000000137e+00,1.745239999999999903e+00,1.895629999999999926e+00,1.904209999999999958e+00,1.886849999999999916e+00,2.041920000000000179e+00
1.856039999999999912e+00,1.858170000000000099e+00,1.852190000000000003e+00,1.839669999999999916e+00,1.880519999999999969e+00,1.846880000000000077e+00
1.691519999999999913e+00,1.910190000000000055e+00,2.131240000000000023e+00,1.801919999999999966e+00,2.015940000000000065e+00,1.910600000000000076e+00
1.862880000000000091e+00,1.876770000000000049e+00,1.860340000000000105e+00,1.998969999999999914e+00,1.935559999999999947e+00,1.781069999999999931e+00
1.827630000000000088e+00,1.750410000000000021e+00,1.840819999999999901e+00,1.899389999999999912e+00,1.750080000000000080e+00,1.989030000000000076e+00
1.847480000000000011e+00,1.857369999999999965e+00,2.007909999999999862e+00,2.045869999999999855e+00,1.857099999999999973e+00,2.039270000000000138e+00
2.071559999999999846e+00,1.852929999999999966e+00,1.856519999999999948e+00,1.911659999999999915e+00,1.924050000000000038e+00,1.777660000000000018e+00
1.869779999999999998e+00,1.878309999999999924e+00,1.954050000000000065e+00,1.947149999999999936e+00,1.904249999999999998e+00,1.877660000000000107e+00
1.815129999999999910e+00,1.963950000000000085e+00,1.850019999999999998e+00,1.755290000000000017e+00,1.820109999999999895e+00,1.786140000000000061e+00
1.827039999999999997e+00,1.785020000000000051e+00,1.908519999999999994e+00,1.850880000000000081e+00,1.785930000000000017e+00,1.765749999999999931e+00
1.789500000000000091e+00,1.770310000000000050e+00,1.894150000000000000e+00,1.793449999999999989e+00,1.834969999999999990e+00,1.822990000000000110e+00
1.896900000000000031e+00,1.775670000000000082e+00,1.649070000000000036e+00,1.889690000000000092e+00,1.881869999999999932e+00,1.741789999999999949e+00
1.682150000000000034e+00,1.956029999999999935e+00,1.832119999999999971e+00,1.709519999999999929e+00,1.796859999999999902e+00,1.780499999999999972e+00
1.755419999999999980e+00,1.696260000000000101e+00,1.784329999999999972e+00,1.790999999999999925e+00,1.826850000000000085e+00,1.737030000000000074e+00
1.727219999999999978e+00,1.780119999999999925e+00,1.740899999999999892e+00,1.730830000000000091e+00,1.767449999999999966e+00,1.848430000000000017e+00
1.587089999999999890e+00,1.743000000000000105e+00,1.778250000000000108e+00,1.913580000000000059e+00,1.898840000000000083e+00,1.862610000000000099e+00
1.601299999999999946e+00,1.655149999999999899e+00,1.577579999999999982e+00,1.695719999999999894e+00,1.910279999999999978e+00,1.779360000000000053e+00
1.438860000000000028e+00,1.776350000000000096e+00,1.819339999999999957e+00,1.807490000000000041e+00,1.791930000000000023e+00,1.770440000000000014e+00
1.631539999999999990e+00,1.699889999999999901e+00,1.668069999999999942e+00,1.713589999999999947e+00,1.776890000000000081e+00,1.858989999999999920e+00
1.557080000000000020e+00,1.819700000000000095e+00,1.859329999999999927e+00,1.789909999999999890e+00,1.764559999999999906e+00,1.649359999999999937e+00
1.612659999999999982e+00,1.792470000000000008e+00,1.882640000000000091e+00,1.733680000000000110e+00,1.725470000000000059e+00,1.824189999999999978e+00
1.492199999999999971e+00,1.604840000000000044e+00,1.618549999999999933e+00,1.702250000000000041e+00,1.733340000000000103e+00,1.923170000000000046e+00
1.633510000000000018e+00,1.602980000000000071e+00,1.765349999999999975e+00,1.693459999999999965e+00,1.684320000000000039e+00,1.485279999999999934e+00
1.344309999999999894e+00,1.640249999999999986e+00,1.626449999999999951e+00,1.711219999999999963e+00,1.734599999999999920e+00,1.736680000000000001e+00
1.624749999999999917e+00,1.763970000000000038e+00,1.507470000000000088e+00,1.608510000000000106e+00,1.744709999999999983e+00,1.603320000000000078e+00
1.423559999999999937e+00,1.586109999999999909e+00,1.698709999999999942e+00,1.717240000000000100e+00,1.610230000000000050e+00,1.629340000000000011e+00
1.324969999999999981e+00,1.563069999999999959e+00,1.672090000000000076e+00,1.691869999999999985e+00,1.691840000000000011e+00,1.668749999999999956e+00
1.470339999999999980e+00,1.586189999999999989e+00,1.571460000000000079e+00,1.772510000000000030e+00,1.674109999999999987e+00,1.727619999999999933e+00
1.495929999999999982e+00,1.586910000000000043e+00,1.579870000000000108e+00,1.480120000000000102e+00,1.715649999999999897e+00,1.598360000000000003e+00
1.357240000000000002e+00,1.529730000000000034e+00,1.584989999999999899e+00,1.690039999999999987e+00,1.709000000000000075e+00,1.742259999999999920e+00
1.485289999999999999e+00,1.455570000000000030e+00,1.603019999999999889e+00,1.675950000000000051e+00,1.570119999999999960e+00,1.668570000000000109e+00
1.333990000000000009e+00,1.505060000000000064e+00,1.567120000000000068e+00,1.521930000000000005e+00,1.682670000000000110e+00,1.582149999999999945e+00
1.216339999999999977e+00,1.436970000000000081e+00,1.690409999999999968e+00,1.529630000000000045e+00,1.690649999999999986e+00,1.631040000000000045e+00
1.383650000000000047e+00,1.386660000000000004e+00,1.534750000000000059e+00,1.749440000000000106e+00,1.652199999999999891e+00,1.590789999999999926e+00
1.319220000000000059e+00,1.421140000000000070e+00,1.566370000000000040e+00,1.630319999999999991e+00,1.597660000000000080e+00,1.782909999999999995e+00
1.289619999999999989e+00,1.426420000000000021e+00,1.562389999999999946e+00,1.503849999999999909e+00,1.630600000000000049e+00,1.541560000000000041e+00
1.358950000000000102e+00,1.481959999999999944e+00,1.531309999999999949e+00,1.483819999999999917e+00,1.613620000000000054e+00,1.624460000000000015e+00
1.254119999999999902e+00,1.571099999999999941e+00,1.525800000000000045e+00,1.694669999999999899e+00,1.521919999999999940e+00,1.453480000000000105e+00
